Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.270252556704773,0.51182160186921,0.715407298091814,0,0,0,1.30189171152403,0.0331304005743222,7.82060880037623E-07,-0.00126164884827886,0.0253452320356869,1.00025568081305E-05,0.0444866464705974,0,0,0,0,0,0,package://Trolley_Complete_URDF.SLDASM/meshes/base_link.STL,0.501960784313725,1,0.501960784313725,1,0,0,0,0,0,0,package://Trolley_Complete_URDF.SLDASM/meshes/base_link.STL,,Dump_BasketV4-1;trolley V3-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
FR_link,9.098318749216E-05,-0.00897645127928853,-0.0281572259069433,0,0,0,0.663181313661936,0.00104686841015958,1.39726235001382E-06,1.59848526115865E-10,0.00090902790905592,-7.35257122351112E-13,0.00177678489777192,0,0,0,0,0,0,package://Trolley_Complete_URDF.SLDASM/meshes/FR_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Trolley_Complete_URDF.SLDASM/meshes/FR_link.STL,,CasterWheel_Complete-1/Caster Nut-1;CasterWheel_Complete-1/Caster Wheel-1;CasterWheel_Complete-1/Caster Bolt-1;CasterWheel_Complete-1/Caster Frame-1,Origin_Front_Right_Wheel,,Front_Right_Wheel,revolute,-0.032299,-0.32318,0.88418,0,0,-0.010135,base_link,0,0,0,0,0,0,0,,,,,,,,
FL_Link,9.09832889947719E-05,-0.00897645198187874,-0.0281572257472024,0,0,0,0.663181320216522,0.00104686841514304,1.3972637461221E-06,1.58804325864757E-10,0.000909027911414302,1.60960464801924E-12,0.00177678490158222,0,0,0,0,0,0,package://Trolley_Complete_URDF.SLDASM/meshes/FL_Link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Trolley_Complete_URDF.SLDASM/meshes/FL_Link.STL,,CasterWheel_Complete-4/Caster Nut-1;CasterWheel_Complete-4/Caster Wheel-1;CasterWheel_Complete-4/Caster Bolt-1;CasterWheel_Complete-4/Caster Frame-1,Origin_Front_Left_Wheel,,Front_Left_Wheel,revolute,-0.032299,-0.32318,0.19418,0,0,-0.010135,base_link,0,0,0,0,0,0,0,,,,,,,,
RR_Link,9.09832914566255E-05,-0.00897645047487916,-0.028157225726175,0,0,0,0.663181306301882,0.00104686840394144,1.39726405510478E-06,1.61067986753676E-10,0.000909027906287309,2.16110729638094E-12,0.00177678489296504,0,0,0,0,0,0,package://Trolley_Complete_URDF.SLDASM/meshes/RR_Link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Trolley_Complete_URDF.SLDASM/meshes/RR_Link.STL,,CasterWheel_Complete-5/Caster Nut-1;CasterWheel_Complete-5/Caster Wheel-1;CasterWheel_Complete-5/Caster Bolt-1;CasterWheel_Complete-5/Caster Frame-1,Origin_Rear_Right_Wheel,,Rear_Right_Wheel,revolute,0.6327,-0.32318,0.88418,0,0,-0.010135,base_link,0,0,0,0,0,0,0,,,,,,,,
RL_Link,9.0983288994817E-05,-0.0089764519818788,-0.0281572257472024,0,0,0,0.663181320216522,0.00104686841514304,1.39726374612197E-06,1.58804325863694E-10,0.000909027911414302,1.60960466172491E-12,0.00177678490158222,0,0,0,0,0,0,package://Trolley_Complete_URDF.SLDASM/meshes/RL_Link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Trolley_Complete_URDF.SLDASM/meshes/RL_Link.STL,,CasterWheel_Complete-6/Caster Nut-1;CasterWheel_Complete-6/Caster Wheel-1;CasterWheel_Complete-6/Caster Bolt-1;CasterWheel_Complete-6/Caster Frame-1,Origin_Rear_Left_Wheel,,Rear_Left_Wheel,revolute,0.6327,-0.32318,0.19418,0,0,-0.010135,base_link,0,0,0,0,0,0,0,,,,,,,,
